Y	DCOST	CARS	DOVTT	DIVTT
0	35	0	12.5	30
0	-17	1	0	16
1	-56.5	1	18	10
0	-69	1	1	18
0	24	0	8	21
0	-17	1	3	14
1	9	1	17	25
1	-41.5	0	1	4
0	-81.5	0	7	9
1	-62.5	2	9	8
1	-62.5	1	9	8
1	48	0	13.5	23
1	49	1	21.5	43
1	-77	1	3	23
0	-19	0	8	13
0	-8	0	13	20
0	23	1	34	40
1	47	1	24	37
0	-55.5	2	15	6
1	-36	2	4	24
1	15	1	8	0
1	29	0	30	46
1	-27	2	7	2
1	-67.5	1	7	11
0	-31.5	1	5	6
0	-85.5	1	2	7
1	-53.5	1	-1	7
1	40	1	26.5	4
1	13	2	11	1
1	19	1	27	47
0	23	0	7	-2
0	-50	1	11	7
0	-75.5	1	6	9
1	-24	1	7	4
0	-22	1	3	11
1	14	2	27.5	6
1	-24	1	17	18
0	-42	1	12	25
1	-42	1	12	25
1	-40.5	1	-6	6
1	-40.5	1	-6	6
0	-44	1	-4	6
1	23	1	-1	-5
1	8	2	27	38
1	-19.5	2	10	30
1	-10	1	8	21
1	-0.5	1	9	5
1	-66.5	1	4	11
0	-68.5	0	0	12
1	-58	2	13	-2
1	2	2	13	36
1	17	1	44	33
1	24	2	28.5	33
1	-26	1	24	7
1	-19.5	1	9	12
1	-57.5	2	10	15
1	17	1	14	2
1	-42.5	1	-2	5
0	-17.5	0	2	4
1	-8.5	2	7	20
1	16	2	14	8
1	-44.5	2	2	8
1	-12	2	5	10
1	28	2	26	11
1	-28.5	2	19	26
1	2.5	4	5	16
1	-43.5	1	5	8
1	-55	1	2	10
0	-71.5	1	-1	13
1	26	1	8	23
1	22	1	4	4
1	-38	1	3	17
1	36	2	27.5	-2
1	-50	1	15	17
1	-57	1	10	14
1	-67.5	1	11	16
1	0	1	6	10
0	-44	0	-1	2
1	28	0	28	6
1	9	1	15	18
0	-5.5	2	4	1
1	15	1	19	13
1	-40.5	2	3	1
1	-68.5	2	17	3
1	11	2	22.5	31
0	-45.5	2	0	4
1	-45.5	2	0	4
1	22	2	3	-4
1	13	4	9	17
1	-65.5	2	21	3
1	-2	1	29	24
1	40	2	20	14
1	27	2	22.5	14
0	-23	1	9	5
1	6	2	14	31
0	-66.5	2	10	20
1	19	2	17	21
1	31	1	39	17
1	-14.5	2	14.5	19
1	31	2	24.5	11
1	-20.5	2	22.5	5
1	-19.5	2	12.5	-2
1	20	1	12.5	-1
1	-55	3	-1	4
1	-53	1	5	16
1	18	2	20	7
1	34	3	7	1
1	18	2	10.5	14
0	-71.5	1	0	3
1	-20.5	1	14	7
0	-10	0	4	12
1	-34	3	8	10
1	-41.5	1	9	11
1	-2	2	25	40
1	17	2	20.5	37
1	-1.5	3	15	36
1	24	1	12.5	1
1	16	3	15	25
0	-71.5	0	5	-2
0	33	0	25	19
1	24	1	5.5	3
1	-52	2	6	13
1	-34.5	2	4	10
0	-59.5	2	8	21
0	26	1	12	17
1	21	1	28.5	21
1	-2	1	16	2
1	20	2	17.5	5
1	17	1	18	11
1	70	1	17	46
1	70	2	17	46
1	-31.5	1	15.5	25
1	-37.5	1	4	7
1	48	1	12	6
1	-8	4	23	55
1	-42	2	5	9
1	-61	2	8	13
1	7	2	7	6
1	23	1	13.5	9
1	11	2	20	27
1	19	2	2.5	-6
1	-36	2	6	16
1	44	2	14	20
1	11	2	6	24
1	-45	1	9	15
0	-57.5	1	4	13
1	19	2	12.5	-1
1	-5	2	10	22
1	2.5	1	6	2
1	87	1	17.5	-2
1	19	2	17.5	2
1	13.5	2	15	0
1	-6.5	3	16	11
1	14.5	2	12.5	46
1	-4	1	19	34
1	88	1	9.5	0
1	-69	2	9	9
1	-34	1	9	3
1	18	1	36.5	9
1	26	4	24.5	23
1	63	1	20	29
1	-33.5	2	11	16
1	3.5	1	6	15
1	27	1	10.5	-1
1	81	2	30.5	25
1	64	2	29	41
1	35	3	20.5	-1
1	34	2	17	30
1	-30.5	1	20.5	58
1	34.5	1	26.5	19
1	18	3	27.5	56
1	-74.5	2	7	31
1	3	1	39	77
1	-5	1	39	78
1	-51	1	4	3
1	-79.5	2	3	-1
1	-79.5	2	15	10
1	19	2	5.5	-4
1	51	2	17	38
1	15	2	33	17
1	66	1	21.5	32
1	-65	2	6	-2
1	7	1	22	56
1	83	2	12.5	35
1	9.5	1	10	7
1	-54	1	11	37
1	23	3	17.5	-2
1	80	1	33.5	13
1	-67.5	2	23	33
1	-19.5	2	28	7
1	11	1	25	24
1	23	2	18	16
1	9	1	14.5	9
1	-67.5	1	21	12
0	-42.5	0	19	12
1	38	2	26.5	41
1	-45.5	2	36.5	28
1	0	2	24	13
1	0.5	2	5	19
1	14	2	21.5	6
1	29	1	17	19
1	-15	1	14	27
1	10	1	21.5	32
1	19	3	14.5	-1
1	-51	1	20	11
0	-65.5	0	21	10
1	-63.5	1	15	12
1	-70.5	2	19	10
1	18	2	35.5	22
0	13	1	9	24
1	35	2	17	20
1	-67.5	1	8	9
1	23	2	12	26
1	-28.5	2	32	25
1	27	2	40	4
1	21	2	14	20
1	29	3	20	47
1	21	2	15	22
1	5	1	18.5	41
0	-28	1	10	6
1	25	1	28	21
1	-39.5	1	13	9
1	-76.5	1	4	15
1	-72	2	12	15
1	10	2	19.5	-2
1	-62	1	9	14
1	-76.5	1	4	18
1	-65.5	2	7	17
1	-46	1	22	7
1	34	3	16	7
1	-53.5	2	6	8
1	31	1	10	8
1	-73.5	0	9	14
0	-45	1	15	11
1	-70.5	1	7	14
1	-12.5	2	16	14
1	-19.5	1	9	26
1	-3	2	6	29
1	-17	3	10	27
1	-40.5	1	25	24
0	21	0	21	45
1	28	3	18	24
1	0	2	17	35
1	-3	3	22	8
1	11	2	14	18
1	27	1	33	25
1	17	2	45	38
1	3	1	12	14
1	0.5	2	31	13
1	7	3	26	12
0	22	1	42	25
1	11	1	24.5	3
1	-22.5	1	13	29
0	-77.5	1	9	16
1	31	1	23.5	22
1	18	2	9.5	1
1	-73.5	2	10	9
1	16	1	23.5	23
1	18	2	13	10
1	6	1	15	28
1	16	2	9.5	6
1	-20	1	4	11
1	-54.5	2	7	0
1	6	2	34	40
1	13	2	13.5	63
1	-25.5	2	29	18
1	-44.5	1	3	21
1	29	1	7.5	-2
0	-77.5	1	11	13
1	25	2	11	59
1	-64	2	4	9
1	33	1	18	36
1	21	2	48	3
1	-71.5	1	3	17
1	47	2	15.5	1
1	44	2	5	71
0	-54	2	4	10
1	-54	1	4	10
1	27	2	18	8
1	39	1	27.5	7
0	-72.5	1	3	18
1	19	3	20	14
1	3	2	31	2
1	-19.5	2	13	6
1	-59.5	2	10	18
1	-7	1	16.5	28
1	-81.5	2	0	19
1	-51.5	1	-3	12
1	-68	2	0	10
1	-24.5	1	13	28
1	-15.5	1	28	59
1	21	2	5	-3
1	-63	1	9	10
1	8	0	20	-2
0	-74.5	0	1	14
1	13	1	20.5	14
1	-26.5	3	13	15
1	8	2	31	9
1	-7	3	11.5	22
1	4	1	18.5	16
0	-55.5	1	3	12
1	14	2	10	2
1	-3	1	24	4
1	77	3	-4	-27
1	4	2	28	-1
1	-63	1	18	14
1	6	3	19	37
1	16	1	17	11
1	6	2	21	10
1	15	2	27.5	-4
1	8	2	32	-3
1	-25	5	1	39
1	16	1	14	11
1	-6.5	1	27	29
1	-2.5	1	37	41
1	-54.5	2	16	18
1	42	2	11	19
1	22	2	9.5	7
1	18	2	12.5	-3
1	-18.5	2	12.5	1
1	-11.5	2	16.5	37
1	-18.5	2	12.5	1
1	14.5	3	13	17
1	46	3	37	13
1	21.5	2	30.5	46
1	15	1	37	5
1	0.5	1	27	10
1	24	2	14	51
1	6.5	1	4	4
1	11	1	24	5
1	12	1	2	12
1	37	3	18.5	21
1	-55.5	1	2	24
1	-22.5	1	13.5	24
1	3	2	22	18
1	-29	2	13	8
1	16	1	26	42
1	-6.5	2	9.5	3
1	36	2	14	22
1	25	1	20.5	14
1	26	1	19	6
1	27	4	10	4
1	26	2	6	5
1	2	2	7	5
1	12	2	15	10
1	5.5	1	7	1
1	21	2	17.5	8
1	-6.5	2	9.5	4
1	-62.5	2	5	5
1	32	2	5.5	-2
1	-48	2	5	13
1	-27	1	8	6
1	21	1	23	-5
1	-16.5	1	16	30
1	-19	1	16	19
1	13	2	29	25
1	15	2	21	2
1	-17.5	2	5.5	0
1	21.5	2	12	19
1	4.5	2	8	2
1	-15.5	1	8.5	6
1	27	2	13.5	31
1	49	2	21	55
1	31	1	12	27
1	-29	1	11	17
1	22	1	25.5	22
1	37	2	24	22
1	-5.5	2	17.5	9
1	26	2	32.5	8
1	14	3	36.5	55
1	7	2	28	19
1	17	3	13	13
1	-16.5	1	8.5	1
1	-60.5	1	9	12
1	14	3	9.5	1
1	13	2	19.5	0
1	14	2	12.5	19
1	8	1	17	46
1	25	4	16.5	38
1	8	2	17.5	81
1	4	3	13.5	65
1	18	3	7	-3
1	-44.5	1	3	15
1	-40	3	4	10
1	11	1	6	10
1	-25	1	21	13
1	87	1	12.5	30
1	79	3	23.5	51
1	-46.5	1	18	3
1	-46.5	2	18	3
1	13	2	30	-4
1	75	2	27.5	33
1	-17.5	2	23.5	51
1	-17.5	2	23.5	51
1	-41	2	-3	18
1	-44	3	-3	17
1	8	2	21.5	61
1	-56	2	-4	-45
1	20	2	13.5	1
1	46	3	20	29
1	26	2	6	9
1	-71.5	2	11	26
1	-72.5	3	10	30
1	-10.5	2	31	32
1	0.5	3	30	23
1	0.5	1	30	23
0	-6	0	21	47
1	14	1	42	49
1	-42	1	8	4
1	-12.5	2	6	9
1	-32.5	3	10	24
1	-83.5	1	11	9
0	-10.5	1	19	12
1	-47.5	1	3	8
0	-67.5	2	7	22
1	8	2	17	10
1	-49.5	1	7	15
1	-60	2	3	25
1	-8.5	2	6	13
1	20	3	19.5	26
0	-65.5	1	11	20
1	-69	1	1	21
1	-1	1	8	35
1	-47.5	2	-1	17
1	-32	2	9	16
1	-64.5	3	10	15
0	-64.5	1	10	15
1	-20.5	3	19.5	32
1	16	2	17	2
1	26	1	22.5	22
1	-14	3	9	28
1	10	2	24	-1
1	-1	1	33	23
1	16	1	11	15
1	19	2	21.5	46
1	1	2	24.5	49
1	15	2	8	17
1	-5.5	2	22	36
1	5	1	21	17
1	-2	3	19.5	32
1	24	1	15	61
1	-1.5	1	26	67
1	-2.5	1	-5	-21
1	-16.5	1	27.5	53
1	-19.5	2	16	16
1	-28	2	9	20
1	-8	3	20	62
1	-14.5	3	19.5	28
1	20	2	19.5	13
1	-35.5	1	17	36
1	16	2	16	38
0	-4	2	10	16
1	-4	2	10	16
1	-48	1	4	20
1	-72.5	1	19	18
1	-81.5	2	8	43
1	11	2	24	26
1	-23	2	6	34
1	-22	3	23	95
1	-15	2	11	36
1	21	1	21	42
0	-77.5	1	13	28
1	11.5	1	9.5	6
1	-3.5	2	21.5	8
1	-54.5	2	2	18
0	-26	1	9	37
1	-57.5	2	5	7
1	-76	3	6	17
1	18	3	23	92
0	-64.5	2	7	15
1	-80.5	2	8	22
1	11	7	18	6
1	22	4	3	-4
1	11	3	13	-1
1	8	1	12.5	-1
1	-72.5	2	19	18
1	34	2	33	32
1	0	1	22.5	19
1	-45	2	18	21
1	4	1	18	18
1	10	2	26.5	12
1	-64.5	2	5	13
1	-88.5	2	16	16
1	17	1	0	-2
1	23	2	21.5	42
1	8	2	11	17
1	13	3	15	11
1	-21	3	28	46
1	-11.5	2	33.5	18
1	12	1	31	-3
1	20	2	44.5	21
1	22	1	39	2
1	22	1	39	2
1	22	1	34	1
1	19.5	1	35	17
1	19	2	17.5	17
1	-18.5	3	17.5	14
1	19	2	14	0
1	-1	1	6	1
1	-27	2	-4	-38
1	44	2	16	17
1	30	3	9	-4
1	16	4	18.5	85
1	-51	1	7	26
1	20	1	36.5	10
1	10	2	4	17
1	12	1	42	28
1	-1	1	20	20
1	-0.5	2	9	4
1	46	2	19.5	37
1	22	2	22.5	22
1	-11.5	1	14.5	10
1	5	2	5	5
1	28	4	8	-1
1	49	2	17	19
1	-15.5	1	16.5	8
1	22	1	31	4
1	1	2	6	21
1	52	2	14	16
1	-24.5	2	9.5	41
1	5.5	2	12	29
1	20	1	8	18
1	28	2	11	19
1	31	2	46	21
1	20	1	24	3
1	22	1	25	19
1	22	1	8.5	2
1	-56.5	2	10	24
1	-16	2	7	24
1	-41	3	6	15
1	23	2	27	-4
1	43	2	14.5	37
1	60	2	5	-3
1	16	1	30	-2
1	-6	2	13	96
1	18	3	30	-3
1	2	2	13	102
1	2	0	13	102
1	39	1	11	55
1	2	1	21.5	76
1	-24	2	21	87
1	-3	1	11	81
1	-3	1	11	81
1	5	1	21	10
1	18	2	-4	-55
1	-18	1	39.5	52
1	49	1	25.5	57
1	46	2	28	70
1	-46.5	1	13	34
1	-78	1	17	30
1	-78.5	1	24	41
1	-87.5	2	14	28
1	-84.5	1	15	1
1	-33.5	1	17	12
1	1	5	32.5	46
1	4.5	4	4	31
1	3	1	10.5	31
1	-106.5	2	-3	10
1	3	2	-4	16
1	-21	3	13	41
1	15	1	-4	27
1	-50.5	1	7	38
1	6	2	-4	11
1	4	3	15.5	49
1	10.5	2	24.5	90
1	-57.5	2	3	25
1	-16	2	6	10
1	12	2	17	-2
1	9	2	-4	25
1	-69.5	1	7	17
1	-59	1	12	12
1	-69.5	1	7	17
1	-13	1	15	17
1	17	2	37	7
1	-12	2	23.5	27
1	-54	2	27	25
1	7	1	10	2
1	-14	3	14.5	19
1	-27.5	5	9.5	13
1	31	2	14.5	11
1	6	2	22	31
1	-68.5	2	14	8
1	8	2	15	12
1	-47.5	2	21	37
1	14	1	15	2
1	-1	1	27	40
1	-8	3	22	16
1	-16	2	15.5	50
1	-32.5	3	6.5	15
1	13	1	24	-4
1	16	1	27	-5
1	-11	1	30	28
1	11	1	23	11
1	4	1	10	11
1	1	2	-4	11
1	-101	2	12	20
1	-5	2	30	46
1	-24	2	9.5	13
1	-5	1	13	2
1	1	3	7	3
1	-111	2	12	24
1	5	1	25.5	59
1	-7	1	21	53
1	9	2	-4.5	-59
1	60	2	-4	-46
1	31	1	-4	-47
1	-84.5	3	21	19
1	-6	1	24	26
1	-43.5	1	5	13
1	-11	2	30.5	31
1	-80.5	1	7	37
1	-22	2	19.5	20
1	-15	1	23	61
1	-19	1	23	58
1	-20	1	28.5	7
1	-106	2	11	50
1	-18	2	6.5	7
1	-24	2	6	57
1	-30	1	6	55
1	-78	2	10	22
1	22	2	-4	48
1	-27	1	6	-1
0	-18	2	6.5	9
1	-72	2	12	34
1	-1	2	20.5	19
1	-18	1	4	1
1	-32	2	10	21
1	89	0	30	37
1	34	2	11	43
1	13	2	-4	40
1	-100	2	8	22
